b_max,b_mean,b_min,b_p10,b_p15,b_p20,b_p25,b_p30,b_p35,b_p40,b_p45,b_p5,b_p50,b_p55,b_p60,b_p65,b_p70,b_p75,b_p80,b_p85,b_p90,b_p95,b_std,g_max,g_mean,g_min,g_p10,g_p15,g_p20,g_p25,g_p30,g_p35,g_p40,g_p45,g_p5,g_p50,g_p55,g_p60,g_p65,g_p70,g_p75,g_p80,g_p85,g_p90,g_p95,g_std,r_max,r_mean,r_min,r_p10,r_p15,r_p20,r_p25,r_p30,r_p35,r_p40,r_p45,r_p5,r_p50,r_p55,r_p60,r_p65,r_p70,r_p75,r_p80,r_p85,r_p90,r_p95,r_std
206,93.42,18,24.0,26.0,28.8,31.75,37.7,43.0,62.400000000000006,87.20000000000002,21.950000000000003,98.5,108.35000000000001,120.8,129.0,133.0,141.25,149.8,161.15,168.0,186.1,57.76230258568299,84,56.0,37,42.0,44.85,46.800000000000004,47.75,48.0,49.0,51.0,52.550000000000004,41.0,54.0,56.0,57.4,61.0,63.3,66.25,67.0,69.14999999999999,71.0,73.0,10.929775843996069,116,62.18,28,35.0,37.0,38.0,39.75,41.0,42.0,44.6,50.75000000000002,32.95,60.0,68.0,71.8,75.35000000000001,81.0,83.25,85.2,89.0,93.0,102.1,24.215854310760957
192,99.77,18,24.0,25.0,28.0,31.0,39.5,50.24999999999999,69.60000000000002,84.65,22.0,109.5,126.80000000000001,139.6,148.35000000000002,150.3,155.5,161.0,166.29999999999998,175.0,182.2,60.91384982087407,87,61.43,39,45.900000000000006,48.0,49.8,52.75,54.0,55.0,57.6,60.550000000000004,43.0,61.0,63.0,65.0,68.0,70.0,70.0,71.2,73.14999999999999,75.0,82.0,11.738189809336022,109,66.51,30,35.0,37.0,38.0,40.0,42.7,46.0,49.6,55.10000000000001,32.95,70.0,73.0,80.4,86.0,89.3,91.0,92.0,94.14999999999999,102.10000000000001,105.05,26.021719774065666
195,93.81,14,22.0,26.849999999999998,29.0,30.0,33.0,48.54999999999999,68.0,79.10000000000001,20.95,94.5,118.25000000000001,132.8,136.0,142.3,147.5,153.0,154.14999999999998,160.3,174.05,57.063244737746906,76,56.75,39,45.0,47.0,47.0,49.0,49.7,50.0,52.0,55.0,43.0,57.0,57.45,60.0,61.35000000000001,63.0,64.0,66.2,68.0,72.0,72.0,9.505130193742746,108,63.01,30,35.9,37.0,38.0,40.0,41.0,42.0,46.800000000000004,53.65000000000001,33.9,62.0,68.45,73.0,77.35000000000001,80.6,84.0,86.2,91.29999999999998,98.0,101.1,24.035180465309594
218,97.03,17,22.900000000000002,25.0,26.8,29.0,34.7,48.3,67.00000000000003,82.20000000000002,20.0,105.0,113.35000000000001,129.39999999999998,133.0,142.2,155.0,159.2,164.0,177.1,191.05,61.28286138880919,86,59.12,28,46.0,48.0,49.0,51.0,52.0,54.0,55.6,56.550000000000004,41.949999999999996,57.5,59.45,62.4,65.35000000000001,66.3,68.25,70.0,72.0,74.0,75.1,11.505024989108021,124,64.97,28,34.0,36.85,39.0,40.75,42.0,44.65,49.2,58.20000000000002,30.950000000000003,66.0,70.45,74.4,78.40000000000003,85.3,87.0,90.0,93.0,97.40000000000003,105.05,25.71631972114206
198,90.14,17,23.0,24.0,26.8,29.0,31.0,37.65,58.80000000000001,78.65,19.0,91.0,103.15000000000002,120.8,127.70000000000002,131.3,135.5,143.2,159.29999999999995,168.0,182.29999999999998,57.52026077826838,87,56.96,37,41.0,43.0,44.0,46.75,48.0,51.3,53.0,55.0,39.0,56.0,58.0,59.4,61.0,62.3,65.0,70.0,71.0,73.0,79.05,12.453047819710644,112,60.97,28,33.0,34.0,35.0,38.0,40.0,42.0,47.0,50.550000000000004,30.0,57.0,65.0,68.0,75.35000000000001,79.3,81.0,84.0,89.14999999999999,92.10000000000001,107.0,24.647293969115555
206,92.71,13,23.0,27.0,29.8,30.75,34.7,42.599999999999994,64.2,79.95000000000005,19.9,93.0,112.45,125.0,134.0,139.3,143.0,149.0,151.0,155.60000000000008,178.2,57.056865493996426,85,57.3,33,42.900000000000006,46.0,47.8,49.75,51.0,51.65,54.0,55.0,38.949999999999996,58.5,60.0,61.4,62.0,63.0,64.0,66.2,70.0,72.0,73.05,10.977704678119194,112,62.28,27,33.9,36.0,37.8,39.0,41.4,44.65,47.0,51.550000000000004,30.950000000000003,58.0,67.9,75.0,77.0,82.0,84.0,85.2,87.0,89.90000000000008,105.05,24.4397544995853
203,96.68,17,22.900000000000002,25.85,28.8,30.75,35.7,47.79999999999998,61.400000000000006,85.25000000000006,21.0,99.0,107.35000000000001,125.19999999999999,136.75000000000006,147.3,157.25,162.2,167.14999999999998,173.40000000000003,192.0,61.250613058156404,93,61.58,33,49.0,49.85,51.0,52.75,53.0,54.0,56.0,58.550000000000004,43.900000000000006,60.5,63.0,66.0,67.0,68.0,70.25,73.0,76.0,77.20000000000002,82.1,12.483733415929708,117,66.29,29,37.0,37.0,38.0,39.75,41.7,44.3,50.800000000000004,57.550000000000004,35.849999999999994,65.0,69.0,80.4,84.0,85.3,88.0,91.2,95.29999999999998,100.30000000000003,112.05,26.272531282691435
200,95.07,21,23.0,24.0,25.8,28.0,34.8,45.24999999999999,64.4,89.55000000000001,22.0,101.5,111.05000000000003,129.39999999999998,134.35000000000002,142.6,149.5,156.0,158.14999999999998,166.20000000000002,180.1,58.84934239224768,77,54.33,30,42.800000000000004,44.0,45.0,46.0,47.7,49.0,49.6,52.0,39.0,54.0,56.0,58.0,59.0,61.0,62.0,64.0,66.0,68.0,70.0,10.174531930265884,112,61.62,28,33.0,34.0,35.0,36.0,36.7,41.0,46.6,51.550000000000004,30.0,62.0,68.45,74.4,80.0,82.0,83.0,85.2,88.0,93.20000000000002,99.1,24.98230573826203
64,61.35,58,60.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,60.0,61.0,61.0,61.4,62.0,62.0,62.0,62.0,62.0,62.0,63.0,0.9836157786453001,30,28.2,26,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,27.0,28.0,28.0,28.0,28.0,28.0,29.0,29.0,29.0,29.0,29.0,0.7348469228349535,42,38.39,35,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,37.0,38.0,38.0,38.4,39.0,39.0,39.0,39.0,39.0,39.0,40.0,0.9684523736353793
246,98.39,17,20.0,22.0,23.0,25.75,43.7,56.0,63.6,88.65,18.900000000000002,105.5,112.45,127.6,132.35000000000002,138.0,146.75,156.4,170.74999999999994,183.50000000000006,197.09999999999997,64.14419615210717,93,61.96,22,49.0,51.0,52.0,53.0,54.699999999999996,57.0,58.6,61.0,44.95,63.0,65.0,66.4,67.0,68.0,69.0,71.2,74.14999999999999,76.0,80.0,11.935593826869278,129,70.57,31,39.9,41.0,43.8,45.0,48.7,51.65,56.2,65.10000000000001,37.0,69.5,78.0,84.0,86.0,87.0,89.0,91.60000000000001,95.59999999999997,105.10000000000001,113.1,25.723629215178793
