b_max,b_mean,b_min,b_p10,b_p15,b_p20,b_p25,b_p30,b_p35,b_p40,b_p45,b_p5,b_p50,b_p55,b_p60,b_p65,b_p70,b_p75,b_p80,b_p85,b_p90,b_p95,b_std,g_max,g_mean,g_min,g_p10,g_p15,g_p20,g_p25,g_p30,g_p35,g_p40,g_p45,g_p5,g_p50,g_p55,g_p60,g_p65,g_p70,g_p75,g_p80,g_p85,g_p90,g_p95,g_std,r_max,r_mean,r_min,r_p10,r_p15,r_p20,r_p25,r_p30,r_p35,r_p40,r_p45,r_p5,r_p50,r_p55,r_p60,r_p65,r_p70,r_p75,r_p80,r_p85,r_p90,r_p95,r_std
182,73.24,12,14.0,14.0,15.0,16.0,17.7,31.949999999999996,38.2,43.20000000000002,13.0,65.5,80.45,89.0,99.05000000000003,114.6,122.25,129.60000000000002,138.45,158.10000000000002,169.09999999999997,55.60901365785946,42,25.1,19,20.0,20.85,21.0,21.0,22.0,23.0,23.0,23.0,19.95,23.0,24.0,25.0,25.0,26.0,27.25,28.0,30.0,33.0,36.05,5.273518749374083,113,59.2,27,32.0,34.0,34.8,37.0,38.7,39.65,41.0,44.10000000000001,31.0,49.0,54.900000000000006,66.0,69.70000000000002,76.0,80.25,87.0,94.0,100.0,108.05,25.97229292919668
196,71.27,11,13.0,14.0,15.0,16.0,17.0,24.299999999999997,35.600000000000016,47.0,12.0,59.0,72.35000000000001,85.0,99.70000000000002,111.0,121.5,129.2,139.14999999999998,152.50000000000006,166.1,55.55193155957767,44,24.72,16,19.9,20.0,21.0,21.0,21.0,22.0,22.0,23.0,18.0,23.0,23.0,24.0,25.0,25.299999999999997,27.0,28.200000000000003,30.0,33.0,38.05,5.612628617679954,112,55.94,27,32.0,32.0,33.8,35.0,36.0,37.0,39.0,42.550000000000004,31.0,44.5,53.45,58.0,64.35000000000001,69.3,78.25,82.0,85.44999999999997,93.0,104.0,24.460506944869316
210,72.48,11,14.0,15.0,15.0,16.0,17.0,23.299999999999997,29.0,42.75000000000002,12.95,64.0,73.45,92.0,95.0,110.6,115.75,126.60000000000001,137.14999999999998,160.9000000000001,180.1,58.07778921412213,43,24.64,18,20.0,20.0,21.0,21.0,21.7,22.0,22.0,22.0,18.950000000000003,22.5,23.0,23.0,24.0,25.0,25.25,27.200000000000003,30.14999999999999,34.0,39.099999999999994,5.896643112822752,114,56.57,23,32.0,33.0,33.0,35.0,36.0,39.0,40.0,43.10000000000001,31.0,46.0,48.45,58.199999999999996,62.0,69.3,75.0,81.0,92.0,95.60000000000005,108.05,25.51048999921405
206,78.11,12,14.0,15.0,15.8,16.75,18.0,24.299999999999997,36.00000000000001,46.65000000000001,13.95,70.0,93.45,100.4,105.70000000000002,113.3,125.75,150.2,156.0,165.1,182.25,60.66562370898366,45,25.28,16,20.0,21.0,21.0,22.0,22.0,22.0,22.6,24.0,19.0,24.0,24.0,25.0,25.0,26.299999999999997,28.0,29.0,30.0,32.10000000000001,37.14999999999999,5.5661117487883764,116,59.55,28,33.0,34.0,35.8,36.0,38.0,40.0,42.2,45.0,30.950000000000003,49.0,56.45,60.8,71.35000000000001,76.3,82.25,89.0,94.0,96.20000000000002,103.14999999999999,25.994759087169857
207,73.55,11,13.0,14.0,14.0,16.0,18.0,24.599999999999994,37.0,50.300000000000026,12.0,71.0,76.45,84.4,101.35000000000001,110.3,123.0,128.2,138.14999999999998,151.0,187.05,57.329813360938125,44,24.47,18,20.0,20.0,21.0,21.0,22.0,22.0,22.0,23.0,19.0,23.0,23.0,23.4,24.0,25.0,25.0,27.200000000000003,28.14999999999999,30.400000000000034,36.05,5.326265107934452,122,56.41,27,30.900000000000002,32.0,33.8,34.0,36.0,36.0,37.0,40.10000000000001,29.0,47.5,52.35000000000001,60.0,62.35000000000001,68.3,76.25,83.2,87.14999999999999,96.60000000000005,106.24999999999999,26.254940487458736
225,76.57,11,13.0,14.0,14.0,15.0,17.7,23.0,37.00000000000001,50.0,12.0,64.0,86.05000000000003,96.0,111.0,119.6,126.75,133.2,139.0,166.60000000000005,185.04999999999998,60.16697682283863,45,24.21,18,19.0,20.0,21.0,21.0,21.7,22.0,22.0,22.0,19.0,23.0,23.0,24.0,24.0,24.299999999999997,26.0,27.0,28.14999999999999,31.10000000000001,35.05,5.097636707338019,122,56.52,28,30.900000000000002,32.0,33.0,34.0,35.0,36.0,39.2,41.550000000000004,29.0,46.5,51.900000000000006,61.0,67.0,70.3,74.0,82.60000000000001,88.0,96.20000000000002,104.1,25.95514592523032
209,80.93,12,13.9,14.0,15.0,16.75,18.7,20.65,31.6,44.75000000000002,13.0,62.0,94.0,109.19999999999999,121.35000000000001,130.2,139.25,146.2,151.44999999999996,162.20000000000002,189.09999999999997,63.8149285042301,45,25.82,19,20.0,20.0,21.0,22.0,23.0,23.0,24.0,24.0,19.0,25.0,25.450000000000003,26.0,27.0,28.0,29.0,29.0,30.0,32.10000000000001,35.099999999999994,5.385870403193898,116,59.76,29,33.0,35.0,35.0,37.0,38.0,39.0,41.0,44.0,31.95,46.5,56.45,62.0,72.70000000000002,77.3,85.5,90.2,93.0,97.10000000000001,104.05,26.230181089729445
235,88.8,10,13.0,13.85,15.0,16.0,17.0,29.65,41.6,52.20000000000002,12.0,84.5,102.45,112.79999999999998,129.0,135.0,145.0,152.8,180.0,194.3,204.05,70.53963424912267,39,24.42,18,19.0,19.0,20.0,20.0,21.0,21.0,22.0,22.0,18.950000000000003,23.0,23.0,24.0,25.0,26.0,28.0,30.0,31.0,32.0,34.0,5.17335481095198,112,60.07,25,31.9,33.0,34.0,35.0,37.0,38.0,40.0,41.0,29.900000000000002,46.0,55.45,66.19999999999999,77.70000000000002,86.6,89.25,93.2,96.0,99.30000000000003,104.0,28.046481062693054
190,74.36,12,13.0,14.0,14.0,16.0,17.0,22.0,29.200000000000003,32.0,13.0,49.0,73.45,86.6,113.75000000000004,129.6,136.25,142.0,147.45,155.10000000000002,171.15,59.77549999790884,37,23.58,15,19.0,19.85,20.0,20.0,21.0,21.0,22.0,22.0,18.0,22.0,23.0,23.0,24.0,24.299999999999997,26.0,27.0,29.0,31.10000000000001,34.0,4.602564502535516,110,55.61,23,33.0,34.0,34.0,35.0,36.0,37.0,38.0,39.0,30.0,42.0,47.0,53.39999999999999,67.05000000000003,74.3,78.75,84.60000000000001,90.0,93.0,96.1,24.69651594861105
184,69.4,11,14.0,14.85,15.0,16.0,17.0,19.949999999999996,26.200000000000003,35.50000000000004,13.0,47.0,67.60000000000002,90.6,97.0,104.3,112.25,127.80000000000001,147.0,159.10000000000002,163.10000000000002,56.33276133831893,41,24.07,17,19.0,20.0,20.0,21.0,21.0,21.65,22.0,22.0,18.0,23.0,23.0,24.0,24.0,25.0,25.0,26.0,30.14999999999999,32.0,35.0,5.081840217873837,106,54.46,28,31.0,33.0,34.0,34.75,35.0,36.65,37.6,38.550000000000004,29.950000000000003,42.5,45.900000000000006,57.4,60.35000000000001,65.3,72.5,78.60000000000001,90.29999999999998,96.10000000000001,99.14999999999999,24.44603035259508
232,79.06,11,13.0,14.0,15.0,16.0,17.7,20.65,23.200000000000003,41.75000000000002,13.0,55.5,74.25000000000001,93.8,114.05000000000003,128.2,141.75,157.0,164.0,167.10000000000002,182.05,66.72642954631995,43,25.06,18,20.0,21.0,21.0,21.0,22.0,22.0,22.6,23.0,19.0,23.0,24.0,25.0,26.0,27.0,28.0,28.200000000000003,31.0,32.0,34.05,5.082951898257548,119,56.22,25,30.0,31.0,32.0,33.0,34.0,35.0,36.6,38.10000000000001,28.95,41.5,45.0,56.8,65.0,75.3,81.25,86.80000000000001,95.14999999999999,100.0,105.0,27.737548557866464
200,73.55,11,13.9,15.0,15.0,16.0,17.0,18.0,26.60000000000001,36.0,12.95,44.0,74.15000000000002,93.4,103.40000000000003,116.0,130.75,146.2,153.59999999999997,162.50000000000006,174.1,60.73966990361406,42,24.41,15,20.0,20.0,21.0,21.0,22.0,22.0,22.0,23.0,18.0,23.0,23.450000000000003,24.4,25.35000000000001,26.0,26.0,27.0,28.0,32.10000000000001,36.0,5.057855276695845,113,54.42,27,31.0,32.0,32.0,33.0,34.0,36.0,37.0,41.0,30.0,42.0,47.0,53.39999999999999,63.35000000000001,70.19999999999999,76.25,80.2,83.14999999999999,96.20000000000002,103.0,25.037643659098592
201,75.83,10,13.9,14.0,15.0,16.0,17.0,18.0,31.400000000000006,38.10000000000001,13.0,54.5,84.25000000000001,99.39999999999999,115.35000000000001,125.3,130.25,141.2,154.0,158.20000000000002,172.14999999999998,61.01525301102996,38,24.75,17,20.0,20.0,21.0,21.75,22.0,23.0,23.0,23.0,19.0,24.0,24.0,25.0,26.0,26.0,27.0,28.200000000000003,30.0,31.0,33.0,4.459540335056967,106,55.76,27,31.0,32.0,33.0,34.0,35.7,37.0,38.0,39.550000000000004,30.0,42.5,47.900000000000006,61.0,63.35000000000001,74.3,78.0,83.60000000000001,90.29999999999998,95.10000000000001,99.1,25.1507932280475
248,85.62,10,13.0,13.0,14.8,15.0,16.0,17.0,27.0,44.75000000000002,11.95,63.5,76.0,106.19999999999999,120.35000000000001,140.89999999999998,152.25,160.20000000000002,179.29999999999995,192.0,213.39999999999998,74.03563736471783,50,26.96,15,20.0,21.0,21.0,22.0,23.0,24.0,25.0,25.0,18.950000000000003,26.0,27.0,27.4,29.0,29.0,30.0,31.400000000000006,33.14999999999999,35.10000000000001,38.05,6.486786569635231,126,58.03,24,29.0,30.0,32.0,34.0,34.7,36.0,37.6,41.0,26.950000000000003,46.5,48.45,62.199999999999996,67.10000000000005,75.89999999999999,84.25,90.2,94.14999999999999,102.30000000000003,110.05,29.162803363188527
179,65.89,9,13.0,13.0,14.0,14.75,15.7,17.65,23.000000000000007,35.10000000000001,12.0,46.0,64.35000000000001,79.39999999999998,92.70000000000002,106.3,111.5,118.2,130.89999999999995,145.50000000000003,165.29999999999995,54.23539342532697,43,27.42,20,22.0,23.0,24.0,25.0,25.0,25.65,26.0,26.550000000000004,21.0,27.0,28.0,28.0,28.0,29.0,29.0,30.0,31.14999999999999,32.0,35.19999999999999,4.499288832693452,109,57.94,28,35.0,36.0,37.0,39.0,41.0,42.65,43.6,45.0,33.9,48.5,53.45,59.8,67.0,71.6,78.25,80.2,85.0,91.10000000000001,102.1,22.54631677236883
255,74.59,12,13.9,15.0,16.0,16.0,17.0,19.0,21.6,40.550000000000004,13.0,55.5,65.25000000000001,84.8,91.70000000000002,103.6,119.5,130.20000000000002,156.0,171.20000000000005,208.54999999999995,66.08344649002501,46,25.11,17,20.0,21.0,21.0,21.0,22.0,22.0,22.0,23.0,18.950000000000003,23.0,24.0,24.0,25.0,25.0,26.0,27.0,28.14999999999999,36.10000000000001,42.05,6.382624851892832,124,56.83,27,33.0,33.0,35.8,36.0,37.0,37.65,39.0,43.0,29.950000000000003,44.5,47.0,55.199999999999996,63.0,67.3,73.0,77.2,88.74999999999996,101.20000000000002,113.19999999999999,26.931414741895754
208,73.49,12,13.9,14.0,15.0,16.0,17.0,18.0,29.0,37.550000000000004,12.0,55.0,69.25000000000001,95.4,103.70000000000002,120.09999999999998,129.25,138.2,145.14999999999998,153.1,173.09999999999997,59.47528814558194,38,24.95,18,21.0,21.0,21.8,22.0,22.0,23.0,23.0,24.0,19.95,24.0,24.450000000000003,25.0,25.0,26.0,27.0,28.0,29.0,30.0,34.05,4.3113223029599625,110,56.5,28,32.9,34.0,34.0,35.75,38.7,39.65,41.0,42.0,31.0,44.0,49.45,60.4,66.40000000000003,73.3,80.25,82.0,83.0,89.20000000000002,102.0,23.92927077869278
192,75.8,12,13.0,14.0,15.0,16.0,17.0,19.599999999999994,26.800000000000004,45.85000000000003,13.0,58.0,70.70000000000002,91.79999999999998,121.0,125.0,132.5,144.0,155.14999999999998,160.3,171.2,60.61484966573785,39,25.49,19,21.0,22.0,22.0,23.0,23.0,24.0,24.0,24.0,20.0,25.0,25.0,25.4,26.0,27.0,27.25,29.0,30.0,31.10000000000001,34.0,4.045973306881794,109,56.34,28,30.900000000000002,33.0,33.8,35.0,36.0,38.0,39.6,41.550000000000004,29.950000000000003,44.0,49.80000000000001,58.0,67.40000000000003,75.3,82.25,87.2,89.44999999999997,92.0,95.05,24.588704723917445
212,68.69,11,14.0,15.0,15.0,16.0,17.0,18.65,22.6,31.0,13.0,43.0,54.45,85.4,95.05000000000003,104.19999999999999,109.75,132.4,144.14999999999998,155.50000000000006,173.09999999999997,58.22193658750969,45,24.51,17,19.9,20.0,20.0,21.0,21.0,22.0,22.0,22.0,18.950000000000003,23.0,23.0,24.0,24.0,25.0,26.0,28.200000000000003,30.0,32.0,36.19999999999999,5.648884845701849,109,53.6,27,30.900000000000002,31.85,32.0,33.75,35.0,36.0,37.0,38.550000000000004,29.950000000000003,40.0,44.900000000000006,51.199999999999996,59.0,67.3,77.0,79.4,86.0,92.40000000000003,101.0,24.67225161998799
188,70.42,9,13.0,13.0,14.0,15.0,16.0,17.0,22.0,34.65000000000001,12.0,51.0,61.0,79.8,100.8500000000001,113.49999999999999,121.25,135.20000000000002,147.29999999999998,161.50000000000003,173.29999999999995,59.395821401846106,42,23.69,16,18.0,19.0,20.0,20.0,21.0,21.0,21.0,22.0,18.0,22.0,23.0,23.0,23.35000000000001,24.0,26.25,28.0,29.14999999999999,31.10000000000001,35.0,5.180144785621344,106,53.76,26,30.0,31.0,32.0,33.0,34.0,35.0,37.0,38.0,28.0,41.0,46.0,53.599999999999994,62.35000000000001,67.3,78.0,84.4,87.29999999999998,92.10000000000001,97.05,24.764539163893197
247,79.73,10,13.0,13.0,14.0,15.0,16.0,18.0,26.800000000000004,36.550000000000004,12.0,50.5,81.45,99.39999999999999,116.35000000000001,123.0,128.75,153.8,170.14999999999998,176.1000000000001,205.29999999999995,70.04896216219052,46,24.21,18,19.0,20.0,20.8,21.0,21.0,21.0,22.0,22.0,18.950000000000003,23.0,23.0,23.0,24.0,25.0,26.0,27.0,28.14999999999999,32.0,35.05,5.464970265243902,120,55.21,25,30.0,31.0,31.0,32.0,33.0,33.0,34.0,37.550000000000004,29.0,39.5,47.900000000000006,57.199999999999996,66.05000000000003,72.3,76.5,82.0,92.29999999999998,98.20000000000002,107.1,27.729152529422894
199,68.08,10,13.9,14.0,14.0,15.0,17.0,18.0,24.0,31.0,12.0,51.0,66.35000000000001,83.8,94.70000000000002,111.3,123.25,125.2,137.14999999999998,146.20000000000002,157.29999999999995,55.97064945129724,39,24.27,18,19.9,20.0,21.0,21.0,21.0,22.0,22.0,23.0,18.0,23.0,24.0,24.0,25.0,26.0,27.0,27.200000000000003,29.0,30.10000000000001,32.05,4.590980287476739,105,57.62,26,31.0,33.85,36.6,37.0,38.0,41.65,43.6,45.550000000000004,29.950000000000003,46.5,49.0,59.0,62.0,77.3,82.25,86.0,89.14999999999999,97.10000000000001,101.05,24.614946678796603
179,69.88,10,13.0,14.0,14.0,15.0,16.0,18.0,22.6,39.10000000000001,11.95,52.0,65.25000000000001,97.0,106.75000000000004,120.3,126.75,135.2,141.0,143.0,157.29999999999995,55.80739735913152,38,23.36,16,18.0,19.0,19.0,20.0,20.0,21.0,21.0,21.0,17.95,22.0,23.0,23.0,23.35000000000001,25.0,26.25,27.0,28.14999999999999,32.0,33.05,5.011027838677411,105,53.93,26,31.9,33.0,34.0,35.0,36.0,38.0,38.0,40.0,29.950000000000003,41.5,46.45,56.599999999999994,66.0,70.0,73.0,78.0,82.29999999999998,87.10000000000001,96.0,22.526542122571765
178,65.02,10,13.9,14.0,15.0,15.0,16.0,17.0,21.0,33.0,12.95,51.0,62.250000000000014,76.0,86.80000000000007,100.09999999999998,112.25,119.20000000000002,136.14999999999998,141.10000000000002,158.34999999999997,52.86529674559672,33,22.79,17,19.0,19.85,20.0,20.0,21.0,21.0,21.0,22.0,18.0,22.0,22.0,22.4,23.0,24.0,24.25,26.0,26.0,29.0,30.049999999999997,3.6614068334453083,102,52.01,28,32.0,32.85,33.0,33.0,34.0,36.0,37.0,38.550000000000004,31.0,40.0,43.0,51.8,58.70000000000002,64.3,71.25,77.0,81.14999999999999,89.0,91.0,21.835519228999342
